1973.8333 -1.3
1973.9167 -1.6
1974 -1.9
1974.0833 -2
1974.1667 -1.9
1974.25 -1.6
1974.3333 -1.2
1974.4167 -1
1974.5 -0.8
1974.5833 -0.7
1974.6667 -0.5
1974.75 -0.4
1974.8333 -0.4
1974.9167 -0.6
1975 -0.8
1975.0833 -0.7
1975.1667 -0.5
1975.25 -0.5
1975.3333 -0.6
1975.4167 -0.7
1975.5 -0.8
1975.5833 -1
1975.6667 -1.1
1975.75 -1.2
1975.8333 -1.4
1975.9167 -1.5
1976 -1.6
1976.0833 -1.7
1976.1667 -1.5
1976.25 -1.1
1976.3333 -0.7
1976.4167 -0.5
1976.5 -0.3
1976.5833 -0.1
1976.6667 0.2
1976.75 0.4
1976.8333 0.6
1976.9167 0.7
1977 0.8
1977.0833 0.8
1977.1667 0.6
1977.25 0.6
1977.3333 0.3
1977.4167 0.3
1977.5 0.3
1977.5833 0.4
1977.6667 0.4
1977.75 0.4
1977.8333 0.5
1977.9167 0.7
1978 0.8
1978.0833 0.8
1978.1667 0.7
1978.25 0.5
1978.3333 0.1
1978.4167 -0.2
1978.5 -0.3
1978.5833 -0.3
1978.6667 -0.3
1978.75 -0.4
1978.8333 -0.4
1978.9167 -0.3
1979 -0.1
1979.0833 -0.1
1979.1667 -0.1
1979.25 0.1
1979.3333 0.2
1979.4167 0.3
1979.5 0.2
1979.5833 0
1979.6667 0
1979.75 0.2
1979.8333 0.3
1979.9167 0.5
1980 0.5
1980.0833 0.6
1980.1667 0.5
1980.25 0.4
1980.3333 0.3
1980.4167 0.3
1980.5 0.4
1980.5833 0.4
1980.6667 0.3
1980.75 0.1
1980.8333 -0.1
1980.9167 0
1981 0
1981.0833 -0.1
1981.1667 -0.4
1981.25 -0.6
1981.3333 -0.5
1981.4167 -0.4
1981.5 -0.3
1981.5833 -0.3
1981.6667 -0.4
1981.75 -0.4
1981.8333 -0.3
1981.9167 -0.2
1982 -0.2
1982.0833 -0.1
1982.1667 -0.1
1982.25 0
1982.3333 0.1
1982.4167 0.3
1982.5 0.5
1982.5833 0.7
1982.6667 0.7
1982.75 1
1982.8333 1.5
1982.9167 1.9
1983 2.1
1983.0833 2.2
1983.1667 2.2
1983.25 1.9
1983.3333 1.5
1983.4167 1.2
1983.5 0.9
1983.5833 0.6
1983.6667 0.2
1983.75 -0.2
1983.8333 -0.5
1983.9167 -0.8
1984 -0.9
1984.0833 -0.8
1984.1667 -0.5
1984.25 -0.3
1984.3333 -0.3
1984.4167 -0.4
1984.5 -0.5
1984.5833 -0.5
1984.6667 -0.3
1984.75 -0.2
1984.8333 -0.3
1984.9167 -0.6
1985 -0.9
1985.0833 -1.1
1985.1667 -1
1985.25 -0.9
1985.3333 -0.7
1985.4167 -0.7
1985.5 -0.7
1985.5833 -0.6
1985.6667 -0.5
1985.75 -0.5
1985.8333 -0.5
1985.9167 -0.4
1986 -0.4
1986.0833 -0.4
1986.1667 -0.5
1986.25 -0.4
1986.3333 -0.2
1986.4167 -0.2
1986.5 -0.1
1986.5833 0
1986.6667 0.3
1986.75 0.5
1986.8333 0.7
1986.9167 0.9
1987 1.1
1987.0833 1.2
1987.1667 1.2
1987.25 1.3
1987.3333 1.2
1987.4167 1.1
1987.5 1
1987.5833 1.2
1987.6667 1.4
1987.75 1.6
1987.8333 1.6
1987.9167 1.5
1988 1.3
1988.0833 1.1
1988.1667 0.8
1988.25 0.5
1988.3333 0.1
1988.4167 -0.2
1988.5 -0.8
1988.5833 -1.2
1988.6667 -1.3
1988.75 -1.2
1988.8333 -1.3
1988.9167 -1.6
1989 -1.9
1989.0833 -1.9
1989.1667 -1.7
1989.25 -1.5
1989.3333 -1.1
1989.4167 -0.8
1989.5 -0.6
1989.5833 -0.4
1989.6667 -0.3
1989.75 -0.3
1989.8333 -0.3
1989.9167 -0.3
1990 -0.2
1990.0833 -0.1
1990.1667 0.1
1990.25 0.2
1990.3333 0.3
1990.4167 0.3
1990.5 0.2
1990.5833 0.2
1990.6667 0.3
1990.75 0.3
1990.8333 0.4
1990.9167 0.3
1991 0.4
1991.0833 0.4
1991.1667 0.3
1991.25 0.2
1991.3333 0.2
1991.4167 0.3
1991.5 0.5
1991.5833 0.7
1991.6667 0.8
1991.75 0.7
1991.8333 0.7
1991.9167 0.8
1992 1.2
1992.0833 1.4
1992.1667 1.6
1992.25 1.5
1992.3333 1.4
1992.4167 1.2
1992.5 1
1992.5833 0.7
1992.6667 0.3
1992.75 0
1992.8333 -0.2
1992.9167 -0.3
1993 -0.2
1993.0833 0
1993.1667 0.2
1993.25 0.3
1993.3333 0.5
1993.4167 0.6
1993.5 0.6
1993.5833 0.5
1993.6667 0.3
1993.75 0.2
