

=== Predictions on test data ===

 inst#     actual  predicted error prediction
   195       2:no       2:no       0.925 
   196       2:no       2:no       0.925 
   197       2:no       2:no       0.925 
   198       2:no       2:no       0.924 
   199       2:no       2:no       0.925 
   200       2:no       2:no       0.925 
   201       2:no       2:no       0.925 
   202       2:no       2:no       0.925 
   203       2:no       2:no       0.925 
   204       2:no       2:no       0.925 
   205       2:no       2:no       0.925 
   206       2:no       2:no       0.925 
   207       2:no       2:no       0.925 
   208       2:no       2:no       0.925 
   209       2:no       2:no       0.925 
   210       2:no       2:no       0.925 
   211       2:no       2:no       0.925 
   212       2:no       2:no       0.925 
   213       2:no       2:no       0.925 
   214       2:no       2:no       0.925 
   215       2:no       2:no       0.925 
   216       2:no       2:no       0.925 
   217       2:no       2:no       0.925 
   218       2:no       2:no       0.925 
   219       2:no       2:no       0.925 
   220       2:no       2:no       0.925 
   221       2:no       2:no       0.925 
   222       2:no       2:no       0.925 
   223       2:no       2:no       0.925 
   224       2:no       2:no       0.925 
   225       2:no       2:no       0.925 
   226       2:no       2:no       0.924 
   227       2:no       2:no       0.925 
   228      1:yes       2:no   +   0.925 
   229      1:yes       2:no   +   0.925 
   230      1:yes       2:no   +   0.925 
   231      1:yes       2:no   +   0.925 
   232      1:yes       2:no   +   0.925 
   233      1:yes       2:no   +   0.925 
   234      1:yes       2:no   +   0.925 
   235      1:yes       2:no   +   0.925 
   236      1:yes       2:no   +   0.925 
   237      1:yes       2:no   +   0.925 
   238      1:yes       2:no   +   0.925 
   239      1:yes       2:no   +   0.925 
   240      1:yes       2:no   +   0.925 
   241      1:yes       2:no   +   0.925 
   242      1:yes       2:no   +   0.925 
   243      1:yes       2:no   +   0.925 
   244      1:yes       2:no   +   0.925 
   245      1:yes       2:no   +   0.925 
   246      1:yes       2:no   +   0.924 
   247      1:yes       2:no   +   0.925 
   248      1:yes       2:no   +   0.925 
   249      1:yes       2:no   +   0.925 
   250      1:yes       2:no   +   0.925 
   251      1:yes       2:no   +   0.924 
   252      1:yes       2:no   +   0.924 
   253      1:yes       2:no   +   0.924 
   254      1:yes       2:no   +   0.924 
   255      1:yes       2:no   +   0.925 
   256      1:yes       2:no   +   0.924 
   257      1:yes       2:no   +   0.924 
   258      1:yes       2:no   +   0.924 
   259      1:yes       2:no   +   0.924 
   260      1:yes       2:no   +   0.924 
   261      1:yes       2:no   +   0.925 
   262      1:yes       2:no   +   0.925 
   263      1:yes       2:no   +   0.925 
   264      1:yes       2:no   +   0.925 
   265      1:yes       2:no   +   0.925 
   266      1:yes       2:no   +   0.925 
   267      1:yes       2:no   +   0.925 
   268      1:yes       2:no   +   0.925 
   269      1:yes       2:no   +   0.924 
   270      1:yes       2:no   +   0.925 
   271      1:yes       2:no   +   0.924 
   272      1:yes       2:no   +   0.924 
   273      1:yes       2:no   +   0.924 
